Fecha,Día,Comp,Ronda,Sedes,Resultado,Equipo,Adversario,Arranque,Posc,Mín,Gls.,Ass,TP,TPint,Dis,DaP,TA,TR,Fls,FR,PA,Pcz,TklG,Int,GC,Penal ejecutado,Penal concedido,Informe del partido,jugador_id,Toques,Tkl,Bloqueos,xG,npxG,xAG,ACT,ACG,Cmp,Int.,% Cmp,PrgP,Transportes,PrgC,Att,Succ,Gls_90,Año,Mes,DiaSemana,resultado_tipo,goles_favor,goles_contra,victoria_penales,derrota_penales,resultado_numerico,diferencia_goles,Rendimiento,Rendimiento_normalizado,cluster
2025-02-02,Dom,Primera A,Apertura — First stage,Visitante,V 1–0,Nacional,La Equidad,Sí,RB,56.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Informe del partido,andrés felipe román,43.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,34.0,77.0,2.0,25.0,1.0,1.0,0.0,0.0,2025.0,2.0,6.0,V,1.0,0.0,0,0,1.0,1.0,13.5,0.2042360060514371,0.0
2025-02-12,Mié,Primera A,Apertura — First stage,Visitante,E 2–2,Nacional,Santa Fe,Sí,RB,60.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Informe del partido,andrés felipe román,43.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,34.0,77.0,2.0,25.0,1.0,1.0,0.0,0.0,2025.0,2.0,2.0,E,2.0,2.0,0,0,0.0,0.0,13.5,0.2042360060514371,0.0
2025-02-23,Dom,Primera A,Apertura — First stage,Visitante,D 2–3,Nacional,Alianza,Sí,RB,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Informe del partido,andrés felipe román,43.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,34.0,77.0,2.0,25.0,1.0,1.0,0.0,0.0,2025.0,2.0,6.0,D,2.0,3.0,0,0,-1.0,-1.0,13.5,0.2042360060514371,0.0
2025-03-04,Mar,Primera A,Apertura — First stage,Visitante,V 5–1,Nacional,Fortaleza FC,Sí,RB,78.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Informe del partido,andrés felipe román,43.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,34.0,77.0,2.0,25.0,1.0,1.0,0.0,0.0,2025.0,3.0,1.0,V,5.0,1.0,0,0,1.0,4.0,13.5,0.2042360060514371,0.0
2025-03-09,Dom,Primera A,Apertura — First stage,Local,V 1–0,Nacional,CD América,Sí,RB,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,Informe del partido,andrés felipe román,43.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,34.0,77.0,2.0,25.0,1.0,1.0,0.0,0.0,2025.0,3.0,6.0,V,1.0,0.0,0,0,1.0,1.0,13.5,0.2042360060514371,0.0
2025-03-15,Sáb,Primera A,Apertura — First stage,Visitante,E 0–0,Nacional,Envigado,Sí,RB,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Informe del partido,andrés felipe román,43.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,34.0,77.0,2.0,25.0,1.0,1.0,0.0,0.0,2025.0,3.0,5.0,E,0.0,0.0,0,0,0.0,0.0,13.5,0.2042360060514371,0.0
2025-03-19,Mié,Primera A,Apertura — First stage,Local,V 4–3,Nacional,Tolima,Sí,RB,65.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Informe del partido,andrés felipe román,43.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,34.0,77.0,2.0,25.0,1.0,1.0,0.0,1.3846153846153846,2025.0,3.0,2.0,V,4.0,3.0,0,0,1.0,1.0,13.5,0.2042360060514371,0.0
2025-03-23,Dom,Primera A,Apertura — First stage,Local,E 1–1,Nacional,Independiente,Sí,RB,76.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Informe del partido,andrés felipe román,43.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,34.0,77.0,2.0,25.0,1.0,1.0,0.0,0.0,2025.0,3.0,6.0,E,1.0,1.0,0,0,0.0,0.0,13.5,0.2042360060514371,0.0
2025-04-02,Mié,Libertadores,Group stage,Local,V 3–0,co Nacional,uy Nacional,Sí,RB,90.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Informe del partido,andrés felipe román,43.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,34.0,77.0,2.0,25.0,1.0,1.0,0.0,0.0,2025.0,4.0,2.0,V,3.0,0.0,0,0,1.0,3.0,13.5,0.2042360060514371,0.0
2025-04-10,Jue,Libertadores,Group stage,Visitante,D 0–3,co Nacional,br Internacional,Sí,RB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Informe del partido,andrés felipe román,43.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,34.0,77.0,2.0,25.0,1.0,1.0,0.0,0.0,2025.0,4.0,3.0,D,0.0,3.0,0,0,-1.0,-3.0,13.5,0.2042360060514371,3.0
